별점,리뷰내용,작성자,시간,사업장명
5,뽑기이벤트로 도파민 터지는데 안주는 더 기가막힌 연남동 최고의 바💖 오늘도 실컷 마시고 갑니다. 여기 있어줘여.....,Minyoung Chun,1주 전,바결
5,사장님 친절하시구 샤인머스캣이 넘 맛있어요 ㅠㅠ 분위기도 적절히 조용해서 좋구요 연남동 한복판에서 좋은 공간 찾아서 행복합니다아 .. 🩶 재방문의사 200%,솔방울님,1달 전,바결
5,사장님이 디저트도 잘 만드시고요. 곶감말이 치즈케이크 다 개존맛탱. 추천도 잘해주시고요. 분위기도 넘 좋고요. 위스키랑 맛있는 것도 많구요. 쉬는 날도 없어서 문득 생각날때마다 올 수 있는 마포구 최고의 바😇,Minyoung Chun,3달 전,바결
5,"지인 추천으로 왔는데 너무너무 좋아요ㅎㅎㅎ
분위기, 맛 진짜 최곱니당ㅎㅎ
트러플 짜파게티 위험해여ㅜㅜ 너무 맛있어서ㅋㅋㅋ
늘먹던걸로 주세요 하면 추천해주시는데
꼭 한번해 보세용ㅎㅎ",이유리,4달 전,바결
5,"연남동 골목에 있는 이쁜 바 입니다
사장님도 친절하시고 칵테일도 맛있어요
매달 이벤트도 해서 그때그때 할인되는 술도 많습니다",Slow,10달 전,바결
5,"Might be the best italian in Seoul
국내 최고 이탈리아 맛집일거예요 정말로, 다른 나쁜 리뷰 보고 진짜 놀랬어요. 다른 식당에서 먹은듯 싶습니다.",HootYedZ,2달 전,리리코
5,맛있어서 두번째 방문. 재료도 좋은거 쓰시고 풍미가 느껴져요. 음식 특징이나 들어간 재료도 설명해주셔서 요리를 이해하고 먹는 시간이었습니다. 면 종류를 고를 수 있어서(생면) 좋았어요.^^ 디저트도 맛있었습니다!,YEONJI LEE (YEONJI),3년 전,리리코
5,칼라마타 생면파스타는 어디서도 먹어보지못한 맛이었어요! 레스토랑에서 직접 만든 햄으로 조리하셨다는 까르보나라도 정말 맛있었어요! 정통 이탈리아 음식을 거품없는 가격으로 경험할수있는 곳이에요,백다영,2년 전,리리코
3,"식전빵 맛있음
파스타 생면 맛있음
소스는? 음... 글쎄요
스테이크? 음.... 뭐 살치살 숙성 이렇게 적힌거 치고는 실망
그냥 분위기 좋은 무난무난 파스타집",강지완,2년 전,리리코
5,음식도 맛있고 가게도 너무 예뻐요 음악도 너무 좋았구요 또 가고싶네요~^^,김길똥,4년 전,리리코
5,"꽈리튀김족발을 먹으러 다녀왔는데 직원분들이 모두 친절하시고, 색다른 메뉴라 신선한 충격을 받았습니다.

머스타드 소스와 양념치킨 소스가 있었는데 족발의 식감과 후라이드 치킨과 양념치킨의 맛이 나서 재밌었습니다. 느끼함을 꽈리고추로 잡아주었습니다.",DanHalang,7달 전,그믐족발
5,"문래에서 가는 건 진작 포기했고 샤로수길로 가려다 연남에서 첫방문 했습니다.

아 이곳은 정말 족발하나만 보고 방문해도 좋은 곳이에요.
너무너무 맛있네요 ..
치킨같기도 하고 족발같기도 한 이맛 명성값 하려나? 했는데 하네요. 다음에 샤로수길 그믐족발 재방문 하겠습니다!

매우면도 맛있긴한데 가격대비 양이 너무 적어요...
양 좀 늘려주셨음 좋겠어요.

여자둘이서 족발1 매우면1 시켜서 완벽 클리어했네요. 3명이서 갔으면 부족할뻔했어요.",sh m,2년 전,그믐족발
5,"문래점도 다녀보고 연남점도 다녀봤는데
혼잡하지 않고 대기 없는 연남점이 좋았어요
맛은 족발을 튀겼다고? 겉바속촉으로 너무 맛잇어요
곁들어 먹는 비빔국수는 약간 맵고 짜서 양념을 반 덜어내고 간 보면서 먹었어요
초딩 잼민이 아들도 맛있다고 잘 먹네요
가족 친구 연인 누구랑 와도 다 잘 어울려용",킹육육,2년 전,그믐족발
5,"맛있어요~^^
문래점은 2시간 대기했구요
연남점.일산장항점까지 왔는데
일산이 젤 넓고 좋아요~~^^♡",유승연,2년 전,그믐족발
5,족발을 튀겨서 주시는 튀김 족발이 아주 맛나네요~ 고추도 같이 족발과 튀겨 주셔서 잘 어울리고 맛나요.,박수영,3년 전,그믐족발
5,"우연히 연남동지나다가
쌀국수먹으러갔었는데
반했다는 ㅎ
추천받은 신메뉴(타이이름은 기억안남 ㅋ) 뼈쌀국수 넘맛있었어요
매장도 넘이뿌고  식기들도 태국~태국~~
담엔 지인들과가고싶은 태국식당이었습니다",ms k,5달 전,심플리타이 연남점
5,"베스트 메뉴인 무끄럽쏨땀이랑 파인애플 볶음밥 먹었는데 다 너무 맛있어요ㅋㅋㅋ
태국 분들이 직접 요리해주셔서 좋았습니다
매장 접근성, 인테리어 분위기도 좋아요
또 올게용~~~~",joo s,5달 전,심플리타이 연남점
5,"연남동에서 먹어본 태국음식중 제일 맛나네요
뿌팟퐁커리 파타이 똠양쌀국수
이 조합 최상인듯
자주방문할께요~~",정유진,5달 전,심플리타이 연남점
3,"태국에서 살았던 경험으로 보자면 쏭땀의 단맛이 너무 강하고 전체적으로 신맛과 젓갈 맛은 잘 안느껴진다
그냥 무난한 맛이라서 가볍게 태국음식 먹기는 좋지만 그 이상을 바라기에는 뭔가 아쉽다
내주는 차는 맛있었지만 태국 음식점에 보이는 소스가 갖추어지지 않은 것은 아쉽다 소스 뿌려 먹어야 매콤하게 먹을수 있는데",Jaeho Kim,10달 전,심플리타이 연남점
5,"분위기 좋고 맛난 가게. 상큼하고 개운한, 살짝 매콤한 맛이 최고입니다.
'심플리 타이'(간단한/아주 태국)이란 이름에서 연상하는 느낌 그대로일까요? 인테리어는 간결하면서 느낌을 잘 살렸어요.
메뉴 하나하나가 아내가 좋아하는 태국드라마에서 친숙한 느낌이지만, 입맛에 잘 맞습니다.
무끄럽&쏨땀.(17,000원) 아내가 전부터 궁금했다는 메뉴. 삼겹살 튀김에 파파야 샐러드. 뭔가 느끼할 것 같은데 전혀 그렇지 않아요. 살짝 매콤하지만, 매운걸 못먹는 제가 먹기에도 부담없는 시원한 매운 맛입니다.
저는 파인애플 볶음밥(11,000원)이 좋네요. 장립종쌀에 살짝 강황(?)이 들어가서 풍부한 향기가 입맛을 북돋워줍니다. 파인애플을 볶음밥에 섞어둔 것 만이 아니라 일부를 따로 놔두어 입가심으로 먹기에 좋아요.
태국에 가보지는 않았지만, 상상했던 느낌에 딱 맞는 분위기와 맛.
항상 울리는 태국 음악에 내부 인테리어, 여기에 음식까지.
이국적인 느낌이면서도 먹기에 부담없어서 기억에 남는 가게입니다. 얼마전에 먹었는데 종종 생각나네요.^^
가격도 괜찮고 양도 넉넉해서 더욱 좋어요.
아참. 리치쥬스 달콤하고 시원해요.",전홍식관장의SF 판타지 도서관,3년 전,심플리타이 연남점
5,"그날의 사시미 메뉴 추천합니다.
더 좋은 추천은 하루전에 예약하는 오마카세가 가격도 안부담스럽고 좋을 것 같습니다.
분위기가 차분한편보다는 캐쥬얼한 느낌이예요.
매콤한 메뉴는 많이 없는 것 같아요.",면아트Myeon Art,1년 전,아카사니
5,"오마카세는 가격도 합리적이고 무엇보다 신선하고 정성깃들인 계절재료와 맛 밸런스가 최고였다.

요즘 가격만 비싼 너도나도 오마카세 눈탱이 맞을바엔
아카사니 오마카세 꼭 예약하고 가셔서 경험해 보시길~
후회 없음
참고로 이자카야라 1인 1주류(잔술가능) 주문 필수

차를 가져가서 논알콜로 마무리 했지만 다음엔 단품 요리들도 경험하러 꼭 가볼예정",Felix You,1년 전,아카사니
3,"맛이 괜찮긴 하지만, 해산물이 특별히 맛있진 않고, 우니도 신선하기는 하지만 특별히 맛있지 않습니다. 양이 전반적으로 한명당 10접시먹어야 기별이 갈 정도입니다. 배가 정말 전혀 안부른데, 한명당 4만원씩은 내야하더라구요. 다시 방문은 안할것같아요.",Libby Yu,2년 전,아카사니
3,"이 가게는 지난 두 번의 방문에서 돈테키를 맛있게 먹었던 연남동 다인의 인스타에서 보고 등록도 하고 가고싶다에 세이브해뒀었는데 요즘 너무 집에 있다 보니 또 어디라도 나가고 싶어 어딜 가볼까하다 생각난 곳이 지난번에 신비갈비살에 가면서 지나치다 보고 궁금해서 보니 괜찮은 가게 같아 보였던 스시츠바사와 여기 아카사니 두 군데였고 다행히 둘 다 일요일에도 영업을 하는데 집에서 멀고 가고싶다에 세이브해둔지도 오래된 아카사니를 먼저 들르기로 하고 하루 전에 예약을 함.

난 저녁에 술을 잘 마시거나 하질 않아 주점 느낌인 아카사니를 좀처럼 갈 일이 없겠다 했었는데 사회적 거리두기 때문에 점심에 일인당 45,000원인 오마카세(맡김요리)를 시작하신다고 해서 드디어 들러볼 수 있겠다 생각하고 있었음.

메뉴를 보니 뭔가 한식과 일식, 양식의 퓨전 느낌이었는데 퓨전을 좋아하거나 맛있게 즐겨본 경험은 없지만 다시 한 번 시도해 보기로 함.

날씨가 추운 것 같아 나가기 싫어 괜히 예약을 했나 했지만 막상 나가니 그다지 춥지 않았고 길도 막히지 않아 30여분 정도 걸려 가게 앞에 도착함.

가게의 위치를 보니 전에 연남동쪽 중식당들을 다닐 때 라조육밥이 나름 좋아 두 번 정돈가 방문했었던 백리향이 있었던 자리에 신축으로 들어선 건물의 2층에 있었고 주차할 자리가 차 있어서 적당히 근처에 주차를 하고 2층으로 올라감.

가게 안으로 들어서니 따로 손님은 없고 우리뿐이었고 맡김요리여서 카운터석에 앉으려고 했는데 창가쪽 테이블로 안낼해주셔서 앉음.

레몬이 들어간 물이 놓여있고 테이블 위에 올려진 맡김요리 코스를 훑어봄.

12시 반이 되어 시작해도 되는지 오너셰프분이 물으셔서 네라고 답하니 김부각이 특이하고 새콤하게 절여진 방울토마토, 미소소스가 올라간 아보카도 등으로 구성된 볼륨감이 좀 빈약한 거 아닌가 하는 샐러드가 나오고 간단한 설명을 해주셔서 먼저 김부각을 맛을 보니 김부각을 좋아해서 맛을 많이 본 건 아니지만 바삭한데 특별히 우와하는 맛이거나 하진 않고 미소소스는 존재감이 특별하진 않음.

거기다 내가 좋아하는 미국식이나 차라리 일본식이 아닌 내가 그다지 좋아하지 않는 플레이팅에 힘을 준 프랑스 요리 느낌의 플레이팅인 것도 내 취향과는 다른 느낌임.

곧 이어 해남고구마칩이 곁들여진 폭신하면서 달달한 일본 느낌의 계란말이가 나왔는데 달달폭신한 계란말이는 좋지만 해남고구마칩은 계란말이와의 특별한 궁합이 뭔지 잘 모르겠는 느낌이고 말 그대로 칩이어선지 해남고구마의 맛이 충분히 느껴지거나 하진 않아 존재의 의미를 딱히 모르겠는 느낌임.

음식들이 다 볼륨감이 적어 혹시나 다 먹고도 배고픈 거 아닌가 할 때쯤 다음 코스인 나메로우가 나왔는데 볼륨감도 괜찮고 난 등푸른 생선을 좋아해선지 가끔씩 느껴지는 시소의 향긋함과 양파의 새콤달달함이 나름 좋아 미소가 지어짐.

가족인원은 등푸른 생선 특유의 향에 민감해선지 나한테 덜어줘서 난 더 좋고 역시나 이런 일식 느낌이 좋은 건지 스시츠바사를 가는 게 더 좋았었을까 하게 됨.

다음으로 그라나파다노 치즈와 채 썬 루꼴라가 올라간 아마도 스파게티니면을 사용한 것 같은 라구 파스타가 나오고 역시나 볼륨감은 살짝 아쉬운 느낌이지만 7코스여서 코스가 끝날 때쯤은 배가 배부를지도 모르겠는 느낌이고 금방 흡입을 했는데 가족인원은 좀 느끼하다고 해서 난 뭐가 느끼한 거지 했지만 아무튼 피클을 좀 부탁드릴까 하니 그래달라고 해서 다음 요리인 참돔구이와 오징어먹물리조또가 나올 때 피클을 좀 부탁드리니 대신 새콤하게 절인 채 썬 고추장아찌를 가져다 주심.

참돔구이라고 해서 뭔가 제법 볼륨감이 있는 걸 기대했었는데 거의 스시 위에 올라가는 네타 정도의 사이즈였고 맛을 보니 충분히 촉촉하거나 하진 않았고 오징어먹물리조또도 맛이 인상적이거나 하진 않음.

아마도 거의 메인인 것 같은 무항생제 오리스테이크가 나왔는데 당근퓨레가 가운데 끼얹어져 있고 제법 두툼한 오리 가슴살 스테이크 두 피스가 올라가 있는데 난 소고기, 돼지고기, 닭고기 말고 다른 고기는 잘 안 먹는데 이번 기회에 같이 곁들여진 유즈코쇼를 얹어 다시 한 번 맛을 보니 껍질에서 배어나온 기름기와 가슴살은 나름 촉촉한데 그렇다고 닭고기보다 더 좋은지는 모르겠는 느낌이고 가족인원은 입맛에 잘 안 맞는다고 얼굴로 싸인을 보내면서 한 피스를 나한테 건네줌.

마지막으로 수제 제철 딸기 아이스크림이 나왔는데 가게 이름인 아카사니의 뜻을 여쭤보니
애써 찾던 것을 발견했을 때 가볍게 내는 감탄사 같은 순우리말이라고 설명을 해주심.

수제라서 어떤 느낌일까 은근 기댈하며 맛을 보니 살짝 딱딱한 느낌이면서 질감은 미세한 얼음결정이 느껴지고 맛은 저렴한 뷔페레스토랑 같은데서 맛보는 고급은 아닌 아이스크림의 맛이어서 살짝 실망함.

자리에서 일어나려는데 차를 준비했다고 하셔서 다시 앉으니 보이차를 따라주셔서 맛을 보니 역시나 특별한 맛이나 질감은 안 느껴지는데 그래도 마지막을 차로 깔끔하게 마무리할 수 있어 좋음.

가겔 나와 나도 그랬는데 가족인원은 차라리 조선호텔 나인스게이트의 주말코스가 훨씬 낫다고 하고 지난번에 들렀었던 동네 까폼의 쌀국수가 먹고 싶다고 함.

전체적으로 우라나라 음식을 베이스로 한 퓨전음식을 내놓는 가게라고 해서 궁금해 방문해봤는데 음식들에서 특별히 우리나라 음식이 중심인 느낌은 못 받았고 가끔씩만 살짝살짝 느껴졌는데 퓨전 스타일을 좋아하지도 않지만 퓨전의 완성도가 높은 느낌도 아니어서 특별히 인상적이진 않았던 방문이었는데 그래도 신상가게면서 오너셰프분의 열정뿜뿜이 느껴지고 다 먹고 나니 배도 불렀어서 괜찮다로..",ethan ghymn,4년 전,아카사니
5,사장님이랑 직원분들 다 친절하시고 음식도 맛있었어요! 사시미는 다양하진 않았지만 상태좋고 맛있었고 카니미소 고로케는 양은 적었지만 수제느낌나서 좋았어요. 서양식 야채 곁들여주셨는데 잘 어울렸어요.,TIME *,4년 전,아카사니
5,"타코야끼와 오꼬노미야끼 추천합니다!
겉바속촉 스타일에 재료들이 큼직해서 식감이 좋고 소스의 양이 적당해서 짜지 않아요
가게가 넓지 않아 좌석이 적은데 분위기가 그만큼 아늑하고 대화하면서 맥주나 하이볼 즐기기 좋았습니다 :)",Celine Cho,4달 전,열정타코
5,"밤에 동네서 목축이러 갊.
가서 생맥주 시원해서 여기 안착하기로 함.
타코는ㅍ4가지 맛인데 코추가 없어서 3가지(오리지날,치즈,솔트) 시킴.
맛있고 바삭하게 정성스럽게 구웠고 문어의 퀄러타와 양이 훌륭함.
토마토 라면은 건강한 맛으로 호불호 있을 수 있으나 해장각
오꼬오미야끼 훌륭한 식감과 맛이 조화로움

가격도 너무합리적이었음. 계속 배달 오토바이가 왔으며 깔끔한 잔과 식기가 거슬리지 않았다.
다찌에 앉았는데 다찌가 끈적거려 닦았은데 더러워서가 아니고 가구마감에 문제가 있어서였음.
자주 방문할 각임..
술 못끊겠으며 생맥주 쵝오

1. 타코 모든 종류
2. 오꼬노미야끼
3. 토마토라면
4. 문어숙회
5. 생맥주
6. 하이볼오리지날",Jeonggie Hong,11달 전,열정타코
1,"남자 사장님 불친절 그자체.. 맛도 그냥 일반 타코야끼.
그냥 두번다시 오고싶지않은 곳",박종혁,4달 전,열정타코
5,"바삭한 타코야끼 겉바속촉! 테이크 아웃도 가능
오코노미야끼 든든하고 맛있다
연트럴파크 산책하고 조용한 주택가 골목을 지나
만나는 작은 술집
얼그레이하이볼 달달, 굿
생맥주 레드락 반가움",eun jung lee,2년 전,열정타코
2,"맛은 평균보다 괜찮긴한데, 뭔가 고객을 대하는 응대라던가 말투가 매우 불친절함. 웨이팅일때 자리 물어봤는데 툭툭 쏘는 말투여서 다신 안감 ㅡㅡ",코볼,3년 전,열정타코
5,"히레와 로스 카츠 정식 점심으로 먹었는데 제주 흑돼지 사용과 말돈소금 및 비법 드레싱이 가미된 샐러드와 돌솥밥 말도 안되는 구성에 가격은 15,000원 진짜 혜자라는 말의 정석 식당이며 핫플 즐비한 연남동에서도 줄서서 먹는 식당이며 홍대 데이트 코스 일순위 식당으로 추천합니다",우동희,4달 전,카마카츠
5,"남자친구랑 홍대에서 돈카츠맛집을 찾았습니다!!!
분위기도 너무 좋아서 나중에 기념일에도 또 방문할예정입니 다^^ 홍대오신다면 친구나 애인과 함께 방문해보시길 추천
이에요오~~~",박지현,6달 전,카마카츠
4,밥이 솥밥으로 나온다는게 매력적임. 돈까스는 두툼하고 지방이 적당하게 있어서 맛있었다. 튀김옷에 꽃이 더 잘 피었다면 식감도 더 좋았을텐데 그 부분은 살짝 아쉽. 돈지루는 짭짤하니 좋았다. 특히 국물로 누룽지를 해먹길 추천!,투어리즘,2년 전,카마카츠
5,"여러가지 소스에 마지막 누룽지까지 센스가 아주 좋아요~
맛있게 잘 먹었어요.",천사용성,1년 전,카마카츠
5,"일단 구성만 봐도 재밌음

내용물이 풍성하신 않지만 그래도 구색 갖춘 톤지루도 반갑고

계란장, 돌솥밥이라는 평소에 만나보기 힘든 음식들이 돈카츠에 곁들여서 나옴

그리고 제일 중요한 돈카츠

템퍼가 딱 봐도 훌륭함 등심은 살짝 오버쿡인 것 같기도 하지만 이정도면 양호

먹어봐도 이빨에 느껴지는 탄탄한 저항감에 고기의 고소한 감칠맛, 튀김옷과의 일체감까지 카와카츠, 카츠바이콘반과 비교해도 뒤지지 않는 훌륭한 등심카츠였음

반면에 안심은 진한 육향, 정확한 템퍼는 좋았는데 이상하게 고기가 좀 질겼음

종합적으로 15,000원에 굉장히 수준높다고 생각하는데 되게 손님이 없어서 좀 의아했음

이날 유독 손님이 없었거나 유독 우연히 맛이 좋았거나 둘 중 하나가 아닐까",Nathan Kim,3년 전,카마카츠
5,"가성비 대비 말도 안되는 퀄리티 연남 횟집입니다.

참다랑어 녹직함과 봄도다리까지 제대로네요.
일요일에 방문해서 마끼밥에 연어 서더리 구이까지 써비스 받아서 가성비 끝내줍니다.",채의태,3주 전,연남 광안리
5,연남동 숙성회 맛집 광안리🧡🧡광안 숙성회 주문했구요~~  육사시미도 같이 나오는 구성이라 가격대비 대만족했어요!!! 서비스로 주신 소라숙회도 대존맛이었습니다ㅠㅠ 소스도 다양해서 술마시면서 먹기 너무 좋더라구용 ㅎㅎ연남동 횟집 찾으시는 분들 한 번 가보세용👍🏻🥰,뚱이누나,1년 전,연남 광안리
3,음 그냥 평범 합니다....맛에 비해 가격대도 좀 있고 일단 장소가 너~~~~~무 협소해서 다시 갈 거 같진 않네요 그래도 멸치찌개는 별미긴 했어요 다른 곳에서는 호불호 갈릴 맛이라고 하던데 전혀 호불호 갈릴 맛은 아니고 밥에 라면사리까지 들어있어 든든 합니다,tokki cho,2년 전,연남 광안리
4,"숙성회 맛있고 갈만했음
자리가 좁아서 단체는'힘들고 멸치찌개가 소주안주로 나쁘지않았음 소고기타다끼도 주시는데 평일에 맛있고 반주하러가기 좋음",Rime,2년 전,연남 광안리
4,"요즘 연남에서 한창 기세를 올리고있는 숙성횟집. 푸짐하게 잘 나오고요, 신선하고 맛있습니다. 인테리어를 마치 광안리 부근 선술집 처럼 만들어놔서 재미도 있구요. 붐비는 정도는... 6시 좀 넘어가니 자리가 없을 정도네요. 암튼 ㅎㅎ 횟집인데 육사시미가 왜 이리 맛있을까요? 그리고 식사로 먹은 멸치라면, 오묘~한 맛이네요.",Junwoo Bae,3년 전,연남 광안리
5,"냉닭국수와 닭수육을 먹어봤습니다!

역사와전통이 있는집은 역시 내공이 있는것 같습니다.

슴슴하면서도 기름기없는 깔끔한 닭국수육수에 겨자다대기 넣어먹으니

국물끝까지 개운하게 잘먹었습니다!

닭수육도 양도 적당하니 맛있었어요!",김지헌,2주 전,삼육 식당
4,"깔끔한 맛의 가성비 좋았던 닭요리집. 거리상의 이유로 자주 가진 못하겠지만, 포항 놀러가시는 분 계시면 한 번 가보시라고 추천할만한 집. 방문 추천.",서승범,2달 전,삼육 식당
5,"닭국수요리 좋아하시면 적극 추천드립니다
닭냉국수는 여름에 줄이 길다고 합니다",김찬수,1달 전,삼육 식당
5,"3대천왕,VJ특공대 방영 방송출연이 중요하다기 보다는 제가 10년가까이 다니면서 정말 단한번도 변함없는 맛입니다.정말 깔끔하고 입에 감기는 초계비빔이나 냉국수 모두 대박입니다.닭칼국수역시 들깨가 들어가서 고소하고 맛납니다.수육과 닭계장등 닭요리는 정말 최고라고 할수있습니다.방송 않나왔을때도 지역맛집으로 유명했던 곳인데 방송 타는바람에 단골맛집도 이젠 타이밍 잘못잡으면 줄서야되는 상황이네요 시간대별로 바로먹을수 있으니 확인해보시고 드시러 가세요",정호영,5년 전,삼육 식당
4,"개인적인 입맛이긴 하지만 냉국수는 맛있어요.
그러나 온국수는 그다지...
비빔국수 양념은 맛이 괜찮은데 육수는 너무 강한듯 하네요.",Jae Chul Jung,1년 전,삼육 식당
5,"비단 살롱 ㅡ 홍대 연남동 끝자락 두루미
#한식 #퓨전주점 으로
음식도 정갈하고 #막걸리 종류도 많아요

#안주도 다 골고루 맛있고
#스파게티에서 #국수까지 다양해요

금요일에는 #예약 안하면 자리가 없을 정도라 미리 예약해야되요

근처에 #연남마실 도 좋고 #피자 #오꼬노미야끼도 괜찮아요

#비단 #살롱 ㅡ #홍대 #연남동 #끝자락 #두루미 #맛집 #핫플",비단,7달 전,두루미
5,"모던한 한식 전통주점.
음식들이 아주 깔끔하다. 특히 오징어순대와 안동소주는 최고였다. 분위기도 좋고 아티잔 한국 전통주 리스트가 좋움",mo mo (모모),1년 전,두루미
4,"에서 막걸리와 바지락 제철채소전, 지중해식 쭈꾸미볶음, 오징어순대... 분위기 너무 좋은 한국 전통주 요리주점... 메뉴와 가격은 사진 참조~",Bumsang Kim,12달 전,두루미
3,"연남의 맛집이리고 해서
디녀왔어요.

밑반찬으로 나온 숙주나물은 괜찮았는데
땅콩이 함께 나오니까
알러지 있으신 분들은 참고하세요.

고구마치즈전은 정말 맛있었습니다.
(저는 이렇게 달고 바삭이는 음식을 좋아해요)

보쌈은 글쎄요..
두부에서도 고기의 안 좋은 냄새가 났어요.
함께 나온 참나물은 맛있었는데
백김치도 그냥 그랬습니다.",국어요정지니샘,1년 전,두루미
5,"가족들과 갓는데 기대이상 맛집!
특히 마지막에 먹은 동동 백국수는 ㅋ~~",이지영,11달 전,두루미
5,"연남동 데이트 코스로 적극추천합니다!
분위기도 너무 좋고 직원분도 친절하셔서 기억에 남는 데이트가 될 것 같아요!
사장님이 요리를 배우셨나 라는 생각이 들 정도로 음식이 맛있었어요!
디저트 쑥 크로플도 메뉴가 굉장히 참신했고, 겉은 바삭하되 속은 쫀쫀한 느낌의 식감이 대박이였습니다!
연주방어페어, 연남동 와인바 방문하실 분들께 추천드려요~",쥰,2달 전,연주방 어페어
5,"너무 맛있는 식사였습니다. 서울에서 분위기 좋은 내추럴와인바를 찾게 되어 너무 좋아요:) 와인바는 보통 분위기로 가는경우가 많은데 여기는 메뉴도 너무 맛있고 사장님이 음식과 와인에 관해 하나하나 친절히 설명해주셔서 더욱 좋았던거 같습니다 ! 와인잔과 인테리어 음식까지 많은 정성과 관심이 들어간 것이 보였어요! 홍대, 연남 와인바를 찾는다면 적극 추천드려요 👍☺️",지채연,3달 전,연주방 어페어
5,"연희동/연남동 사이에 있어서 접근성도 좋고 근처에서 브런치 와인바 찾는다면 완전 추천함니돠 ㅎㅎ 생일날 예약 후 방문했더니 자리도 준비되어 있어 편하고, 분위기도 좋아서 기념일랑 생일, 데이트할 때 가기 찰떡인 곳이라 생각했어요 ㅎㅎ

무엇보다 와인 종류도 많고, 퓨전 한식 느낌의 음식들도 하나같이 맛있어서 감탄 또 감탄 ㅠ ㅜ !!!!!! (디저트까지 꼭 먹어야함……..) 특히 항정살 스테이크+갓김치/보리된장 조합은 계속 기억에 남을 것 같아요ㅜ

은은한 조명 들어오고 시원한 바람도 맞을 수 있는 테라스 야외 좌석도 넘 탐나서 다음에 또 오렵니다….😵‍💫🎂

무엇보다 너무너무 친절하시고, 메뉴 설명도 잘해주셔서 머무르는 내내 감사하고 편했답니다~~ 다음엔 런치메뉴 먹으러 올게용!",정다은,3주 전,연주방 어페어
5,오랜만에 기분 좋고 맛있는 식사 하고 온 곳이에요! 와인도 하나하나 설명해주시면서 추천해주시고 음식들도 친절하게 설명해주셔서 그 맛을 더 음미하면서 먹을 수 있었어요! 항상 지나다니면서 방문해봐야지 했는데 이제야 온 저를 탓하게 되는 찐 맛집.. 모든 게 완벽했던 연남동와인바를 지금이라도 찾게 돼서 행복해용! 다음에 꼭 다시 방문할게요~~,정하윤,2달 전,연주방 어페어
5,"분위기도 데이트하기 넘 좋은 분위기인데다가 음식도 너무 맛있어요 ㅎㅎ
특별한 메뉴인 시그니처로 항정살스테이크 부드럽고 와인이랑 정말잘어울리니까 꼭드셔보세요 👍🏻
쑥인절미와플로 마무리하면 완벽한 식사에요 ☺️
넘 예쁜 분위기여서 친구들이랑도 올꺼에요 ✨🌷",강수지,1주 전,연주방 어페어
5,"정성스럽고 맛있는 안주.
오픈주방이기때문에 요리하시는
모습을 볼 수 있습니다.
생소한 국내 증류수 및 막걸리를 먹을 수 있는 맛집!!! 강력 추천합니다.",Sanggeun Joo,2년 전,미르
5,"모든 음식이 수준 이상으로 맛있고 가성비 좋음.
분위기가 차분해서 부담없이 들르기 좋음.",송민호,3년 전,미르
5,맛나요. 모든 음식이 다 맛있어요. 녹두전 명란계란말이 육회 먹었어요.,Sj Ahn,3년 전,미르
4,"전통술집. 독특한 전통주에 괜찮은 안주를 괜찮은 가격에 만날 수 있다. 주류와 안주 풀이 적고, 혼술 메뉴나 보틀 키핑이 안되는 것이 단점.",안유빈,4년 전,미르
5,친절하고 맛있어요,Kim소소,3년 전,미르
5,가격 대비 음식 양이 많고 푸짐해요ㅠ 한식을 여러개 즐겨보고 싶은 외국인도 많고 혼밥하러 온 한국인도 많아요. 감자탕도 맛있었고 수육과 쭈꾸미 모두 기대 이상이었습니다! 감자탕에 라면사리 넣어 먹으니 맛있었네요~,Senie,2달 전,송가네감자탕
5,"私がカムジャタンが大好きで韓国人におすすめされたお店。

お肉もほろほろ柔らかくて美味しかったし、大好きなエゴマの葉をくれるのが嬉しい！

제가 감자탕을 좋아하는 편이라서 한국인에게 추천받은 가게에 가봤어요
고기도 부드럽고 맛있었움
좋아하는 깻잎도 주시고 맛있게 먹었습니다",sky,4달 전,송가네감자탕
5,"이전 후 처음 식사.
24시간 오픈.
잔치는 감자탕, 쭈꾸미, 보쌈, 두부김치.
다 맛있음. 특히 감자탕. 라면사리 추가했음. 쭈꾸미는 개인적으로 약간 매웠음. 야채 등 셀프 리필.
예전보다 장소는 작아졌지만 아담하고 깨끗함.
2인 먹기에는 양이 많아 남은 음식 포장하였더니 육수도 더 넣어 주시고 감사.",Sam Hahn,7달 전,송가네감자탕
4,"감자탕은 엄청 맛있었는데, 밥이 설익었어요",Dong-Gyun Ryu,일주일 이내,송가네감자탕
